nthreads;n;m;s;mean;dev;version
1;2000;8;4;0.240542;0.000635;blas
2;2000;8;4;0.118376;0.001879;blas
3;2000;8;4;0.082062;0.000892;blas
4;2000;8;4;0.061512;0.000790;blas
5;2000;8;4;0.050859;0.000620;blas
6;2000;8;4;0.043464;0.000541;blas
7;2000;8;4;0.040045;0.000389;blas
8;2000;8;4;0.033944;0.000280;blas
9;2000;8;4;0.030823;0.000387;blas
10;2000;8;4;0.029511;0.000306;blas
11;2000;8;4;0.028217;0.000389;blas
12;2000;8;4;0.026891;0.000553;blas
1;2000;8;4;0.603812;0.005700;no_blas
2;2000;8;4;0.305725;0.000739;no_blas
3;2000;8;4;0.206919;0.000095;no_blas
4;2000;8;4;0.156323;0.000702;no_blas
5;2000;8;4;0.126860;0.000402;no_blas
6;2000;8;4;0.107272;0.000546;no_blas
7;2000;8;4;0.093963;0.000513;no_blas
8;2000;8;4;0.083264;0.000127;no_blas
9;2000;8;4;0.074510;0.000643;no_blas
10;2000;8;4;0.068839;0.000724;no_blas
11;2000;8;4;0.064043;0.000185;no_blas
12;2000;8;4;0.059807;0.001038;no_blas
